"TOA5","88296","CR1000","88296","CR1000.Std.31.08","CPU:Vasi_Science Centre AWS.CR1","64103","Daily"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Min","AirTC_Max","RH_Min","RH_Max","SlrW_Max","SlrW_Std","CUV5_W_Max","CUV5_W_Std","CUV5_MJ_Tot","Rain_mm_Tot","T107_C_Min","T107_C_Avg","VW_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","Deg C","%","%","W/m^2","W/m^2","W/m^2","W/m^2","MJ/m^2","mm","Deg C","Deg C",""
"","","WVc","WVc","WVc","Max","Min","Max","Min","Max","Max","Std","Max","Std","Tot","Tot","Min","Avg","Avg"
"2021-05-13 00:00:00",335,0.926,359.9,36.16,6.425,14.65,31.07,42.33,100,706.5,260.5,31.55,11.14,0.679,0,14.53,21.72,0.048
"2021-05-14 00:00:00",336,0.843,337.9,75.25,4.175,17.33,29.42,53.23,100,829,246.5,32.77,10.69,0.648,0,17.34,22.57,0.046
"2021-05-15 00:00:00",337,1.178,354,31.88,5.15,16.75,30.99,40.34,100,691.6,255.9,30.54,10.96,0.665,0,16.16,22.27,0.043
"2021-05-16 00:00:00",338,0.873,348.1,29.62,5.675,14.67,31.75,31.6,100,681.6,252.6,29.73,10.74,0.654,0,13.58,21.88,0.04
"2021-05-17 00:00:00",339,1.072,217.1,68.06,6.65,15.08,34.77,19.02,94.4,693.6,254.9,31.15,11.18,0.683,0,12.75,22.02,0.038
"2021-05-18 00:00:00",340,0.827,170.5,41.06,3.95,17.42,26.44,62.43,99.4,901,233.1,37.32,10.84,0.632,1.016,17.59,20.89,0.036
"2021-05-19 00:00:00",341,0.717,114.7,61.64,4.7,16.08,25.49,65.26,100,860,200.5,34.09,9.17,0.548,3.048,16.17,20.15,0.035
"2021-05-20 00:00:00",342,1.313,1.976,28.33,6.05,14.82,27.67,55.87,100,668.2,244.9,30.14,10.76,0.648,0,14.73,20.97,0.036
"2021-05-21 00:00:00",343,1.852,355.6,33.47,6.425,17.07,28.5,48.96,99.7,852,215.7,33.78,9.28,0.55,0,16.47,21.82,0.035
"2021-05-22 00:00:00",344,1.383,148.6,76.16,5.3,16.08,26.51,60.53,85,872,220.3,34.08,9.78,0.584,0,15.49,21.5,0.035
"2021-05-23 00:00:00",345,0.721,171.4,44.73,4.925,15.14,25.06,55.33,97.6,977,167.9,39.24,8.12,0.458,0,15.47,19.35,0.034
"2021-05-24 00:00:00",346,0.851,160.5,58.82,3.65,13.76,25.04,59.35,98,784.4,205.6,30.75,9.45,0.55,0,13.96,18.38,0.034
"2021-05-25 00:00:00",347,0.822,19.64,25.77,5.3,13.18,25.04,55.76,99.7,881,232.5,33.48,10.21,0.612,0,12.59,19.07,0.033
"2021-05-26 00:00:00",348,0.837,359.1,26.65,5.075,11.38,26.16,48.27,100,690.4,225.4,28.32,9.04,0.546,0,10.94,18.12,0.032
"2021-05-27 00:00:00",349,0.639,4.355,28.18,5,11.41,27.36,41.42,99.9,634.7,231.1,27.71,9.76,0.58,0,11.33,18.56,0.031
"2021-05-28 00:00:00",350,0.755,355.1,28.15,4.55,9.17,27.76,43.4,100,650.3,237.8,29.33,10.34,0.621,0,10.07,18.49,0.031
"2021-05-29 00:00:00",351,0.765,307.9,74.2,3.8,13.93,32.18,24.97,100,644.3,234.8,27.1,9.29,0.554,0,12.41,20.41,0.03
"2021-05-30 00:00:00",352,0.808,166.9,40.07,4.4,13.81,27.04,51.12,100,803,242,31.86,10.06,0.597,0,13.33,19.91,0.03
"2021-05-31 00:00:00",353,1.01,190.4,43.24,5.675,14.76,25.11,61.58,100,864,158.6,32.57,7.02,0.398,0.508,13.53,18.16,0.03
"2021-06-01 00:00:00",354,0.676,31.04,74.03,4.1,12.94,23.17,60.56,97.4,675.6,123.1,25.49,5.998,0.345,0.254,13.28,17.76,0.029
"2021-06-02 00:00:00",355,0.58,217.1,53.12,6.125,13.28,21.41,80.7,99.9,724.9,114.1,23.88,5.038,0.26,24.13,13.72,17.11,0.072
"2021-06-03 00:00:00",356,0.561,193.7,35.99,3.725,11.72,23.39,56.44,95.9,851,189.2,31.96,8.53,0.517,0,12.02,16.38,0.083
